Time,Stage,HeartRate,Pace,Distance
2018-07-31T18:22:28Z,WU,0,30.88072,0.0
2018-07-31T18:22:33Z,WU,0,24.263573,1.359811
2018-07-31T18:22:38Z,WU,0,18.463263,9.4317665
2018-07-31T18:22:43Z,WU,0,17.024836,21.737251
2018-07-31T18:22:48Z,WU,0,16.23196,29.413368
2018-07-31T18:22:53Z,WU,0,15.202815,33.033237
2018-07-31T18:22:58Z,WU,0,14.800497,47.206825
2018-07-31T18:23:03Z,WU,0,14.980145,54.594204
2018-07-31T18:23:08Z,WU,0,15.13615,65.66203
2018-07-31T18:23:13Z,WU,0,15.313029,72.62067
2018-07-31T18:23:18Z,WU,0,15.529456,82.783005
2018-07-31T18:23:23Z,WU,0,15.679268,90.153786
2018-07-31T18:23:28Z,WU,0,16.08874,99.471504
2018-07-31T18:23:33Z,WU,0,16.05695,105.68995
2018-07-31T18:23:38Z,WU,0,15.894879,117.51915
2018-07-31T18:23:43Z,WU,0,15.890093,124.86523
2018-07-31T18:23:48Z,WU,0,16.034216,135.1634
2018-07-31T18:23:53Z,WU,0,15.97364,141.67943
2018-07-31T18:23:58Z,WU,0,15.97537,151.36435
2018-07-31T18:24:03Z,WU,0,15.893906,157.9695
2018-07-31T18:24:08Z,WU,0,15.624712,168.85156
2018-07-31T18:24:14Z,WU,0,15.327867,176.23851
2018-07-31T18:24:19Z,WU,0,15.240303,186.44371
2018-07-31T18:24:24Z,WU,0,15.115794,197.1734
2018-07-31T18:24:29Z,WU,0,15.12153,204.5252
2018-07-31T18:24:34Z,WU,0,15.212914,216.3127
2018-07-31T18:24:39Z,WU,0,15.413288,223.07104
2018-07-31T18:24:44Z,WU,0,15.433,232.48648
2018-07-31T18:24:49Z,WU,0,15.240205,239.34056
2018-07-31T18:24:54Z,WU,0,14.997091,246.5893
2018-07-31T18:24:59Z,WU,0,14.778446,257.2601
2018-07-31T18:25:04Z,WU,0,14.468348,269.29053
2018-07-31T18:25:09Z,WU,0,14.455152,276.53
2018-07-31T18:25:14Z,WU,0,14.475057,283.88278
2018-07-31T18:25:19Z,WU,0,14.561764,294.84814
2018-07-31T18:25:24Z,WU,0,14.590518,306.47595
2018-07-31T18:25:29Z,WU,0,14.743424,313.71375
2018-07-31T18:25:34Z,WU,0,14.85356,323.88367
2018-07-31T18:25:39Z,WU,0,14.849047,331.03738
2018-07-31T18:25:44Z,WU,0,14.805563,342.45325
2018-07-31T18:25:49Z,WU,0,14.91187,349.78226
2018-07-31T18:25:54Z,WU,0,15.01653,360.5048
2018-07-31T18:25:59Z,WU,0,15.034175,367.5037
2018-07-31T18:26:04Z,WU,0,15.062735,378.64642
2018-07-31T18:26:09Z,WU,0,15.299763,385.42584
2018-07-31T18:26:14Z,WU,0,15.462304,396.0888
2018-07-31T18:26:19Z,WU,0,15.693351,403.39044
2018-07-31T18:26:24Z,WU,0,16.069674,414.014
2018-07-31T18:26:29Z,WU,0,16.463696,419.94482
2018-07-31T18:26:34Z,WU,0,16.4721,425.94385
2018-07-31T18:26:39Z,WU,0,16.193403,435.6971
2018-07-31T18:26:44Z,WU,0,15.796369,445.9136
2018-07-31T18:26:49Z,WU,0,15.377796,453.05573
2018-07-31T18:26:54Z,WU,0,14.981942,464.10376
2018-07-31T18:26:59Z,WU,0,14.809194,472.0816
2018-07-31T18:27:04Z,WU,0,14.927174,482.50696
2018-07-31T18:27:09Z,WU,0,14.96089,485.92996
2018-07-31T18:27:14Z,WU,0,14.901546,500.30347
2018-07-31T18:27:19Z,WU,0,14.997012,507.0263
